,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
157,Gravel Cycling,2021-05-29 09:14:00,6. 💯 VKP completed,124.58,2988.0,0 days 05:16:11,146,180,5.0,23.6,62.9,1126,1234,0,0,0,0.0,0,0,0,0,10.0,0 days 05:14:23,0 days 06:23:26,198,447,Bergamont
158,Road Cycling,2021-05-27 17:18:00,Praha Silniční cyklistika,50.24,1151.0,0 days 01:51:03,143,178,3.6,27.1,52.4,519,524,80,116,0,0.0,0,0,0,8053,11.0,0 days 01:50:48,0 days 01:58:12,193,380,Roubaix
159,Gravel Cycling,2021-05-24 17:57:00,Praha Cyklistika na nezpevněných cestách,37.4,1026.0,0 days 02:09:18,126,183,2.4,17.4,45.7,387,397,0,0,0,0.0,0,0,0,0,11.0,0 days 02:08:21,0 days 03:03:13,193,350,Bergamont
160,Road Cycling,2021-05-22 10:05:00,5.💯 Hills Hills Hills,123.11,3099.0,0 days 05:32:15,143,171,5.0,22.2,71.4,1864,1892,74,105,0,0.0,0,0,0,21041,9.0,0 days 05:31:17,0 days 06:18:18,195,496,Roubaix
161,Road Cycling,2021-05-21 15:02:00,Praha Silniční cyklistika,41.32,878.0,0 days 01:36:08,135,172,3.0,25.8,44.2,175,155,77,104,0,0.0,0,0,0,6929,13.0,0 days 01:35:59,0 days 01:43:50,195,250,Roubaix
162,Gravel Cycling,2021-05-18 14:48:00,Medník,79.23,2231.0,0 days 04:13:11,140,176,4.5,18.8,50.9,1096,1096,0,0,0,0.0,0,0,0,0,9.0,0 days 04:11:22,0 days 05:12:32,188,427,Bergamont
163,Gravel Cycling,2021-05-16 12:03:00,Italská cyklojízda,59.41,1282.0,0 days 03:01:16,118,179,2.2,19.7,40.8,245,236,0,0,0,0.0,0,0,0,0,14.0,0 days 03:00:34,0 days 06:17:37,191,246,Bergamont
164,Gravel Cycling,2021-05-16 12:00:00,Cyklistika na nezpevněných cestách,0.0,8.0,0 days 00:01:43,94,102,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,19.0,0 days 00:00:00,0 days 00:08:56,273,276,Bergamont
165,Gravel Cycling,2021-05-09 13:16:00,4.💯 Kotce 2021,107.86,246.0,0 days 04:24:31,145,179,4.4,24.5,52.3,883,1023,0,0,0,0.0,0,0,0,0,22.0,0 days 04:23:47,0 days 04:49:29,198,385,Bergamont
166,Gravel Cycling,2021-05-08 14:14:00,Rovensko pod Troskami Cyklistika na nezpevněných cestách,24.48,656.0,0 days 01:27:24,121,174,2.4,16.8,41.5,389,363,0,0,0,0.0,0,0,0,0,10.0,0 days 01:26:49,0 days 01:48:00,257,391,Bergamont
167,Gravel Cycling,2021-05-06 16:08:00,Praha Cyklistika na nezpevněných cestách,4.49,125.0,0 days 00:12:20,128,162,1.7,21.8,38.3,46,34,0,0,0,0.0,0,0,0,0,12.0,0 days 00:12:06,0 days 00:15:47,201,243,Bergamont
168,Gravel Cycling,2021-05-04 17:55:00,Praha Cyklistika na nezpevněných cestách,38.84,1094.0,0 days 01:47:01,143,188,3.7,21.8,46.8,445,453,0,0,0,0.0,0,0,0,0,11.0,0 days 01:46:15,0 days 02:02:50,187,341,Bergamont
169,Gravel Cycling,2021-05-01 12:49:00,Karlštejn s Karin,73.08,2021.0,0 days 03:33:35,0,0,0.0,20.5,38.5,242,235,0,0,0,0.0,0,0,0,0,10.0,0 days 03:32:42,0 days 04:44:53,195,255,Bergamont
170,Road Cycling,2021-04-27 16:01:00,3.💯 na Kladno,114.6,274.0,0 days 04:20:10,150,185,5.0,26.4,56.0,940,960,78,110,0,0.0,0,0,0,18699,6.0,0 days 04:19:32,0 days 04:51:15,187,468,Roubaix
