,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
182,Cycling,2021-09-26 19:14:28,Praha Cyklistika,11.87,316.0,0 days 00:46:34,118,148,0.0,15.3,28.3,50,52,0,0,0,0.0,0,0,0,0,0.0,0 days 00:43:10,0 days 00:46:34,188,209,unknown
183,Cycling,2021-09-26 11:45:17,Praha Cyklistika,11.66,277.0,0 days 00:38:12,118,148,0.0,18.3,34.8,57,60,0,0,0,0.0,0,0,0,0,0.0,0 days 00:36:36,0 days 00:38:12,187,210,unknown
184,Gravel Cycling,2021-09-25 13:35:43,Praha Cyklistika na nezpevněných cestách,55.89,1023.0,0 days 02:55:08,110,167,1.8,19.1,42.2,176,174,0,0,0,0.0,0,0,0,0,19.0,0 days 02:54:14,0 days 03:59:34,197,249,Bergamont
185,Gravel Cycling,2021-09-21 16:40:19,Praha Cyklistika na nezpevněných cestách,30.83,628.0,0 days 01:20:28,122,147,2.1,23.0,39.7,66,70,0,0,0,0.0,0,0,0,0,10.0,0 days 01:20:05,0 days 01:27:51,191,208,Bergamont
186,Road Cycling,2021-09-18 09:46:00,Sella Ronda Bike Day 2021,78.57,3120.0,0 days 04:45:00,149,174,5.0,16.5,64.3,2429,2433,65,123,0,0.0,0,0,0,15064,8.0,0 days 04:44:24,0 days 05:34:52,1422,2255,Roubaix
187,Road Cycling,2021-09-17 15:50:09,Appiano sulla Strada del Vino Silniční cyklistika,53.01,1365.0,0 days 02:01:56,143,176,3.7,26.1,37.2,382,84,78,105,0,0.0,0,0,0,9166,19.0,0 days 02:01:06,0 days 02:02:02,238,555,Roubaix
188,Road Cycling,2021-09-11 10:33:57,Sassari Silniční cyklistika,112.7,2852.0,0 days 04:30:33,152,181,5.0,25.0,51.7,1188,1247,74,118,0,0.0,0,0,0,17838,25.0,0 days 04:30:09,0 days 05:06:53,1,186,Roubaix
189,Road Cycling,2021-09-11 10:18:12,Sassari Silniční cyklistika,3.38,109.0,0 days 00:10:19,128,153,1.5,19.7,32.5,23,22,71,98,0,0.0,0,0,0,582,28.0,0 days 00:10:13,0 days 00:11:55,60,70,Roubaix
190,Road Cycling,2021-09-04 11:28:00,Prato allo Stelvio Silniční cyklistika,63.53,2518.0,0 days 03:44:48,151,176,5.0,17.0,71.8,1882,1869,68,97,0,0.0,0,0,0,11845,4.0,0 days 03:44:07,0 days 04:36:14,893,2722,Roubaix
191,Gravel Cycling,2021-09-03 08:54:27,Praha Cyklistika na nezpevněných cestách,43.76,935.0,0 days 01:50:24,129,165,2.9,23.8,41.3,132,132,0,0,0,0.0,0,0,0,0,12.0,0 days 01:47:36,0 days 03:22:33,195,220,Bergamont
192,Gravel Cycling,2021-09-02 17:22:59,Praha Cyklistika na nezpevněných cestách,31.96,812.0,0 days 01:36:25,128,171,2.7,19.9,47.0,331,318,0,0,0,0.0,0,0,0,0,15.0,0 days 01:35:50,0 days 01:43:06,196,317,Bergamont
193,Gravel Cycling,2021-08-29 15:14:27,Praha Cyklistika na nezpevněných cestách,15.57,287.0,0 days 00:48:07,107,129,0.9,19.4,29.3,37,38,0,0,0,0.0,0,0,0,0,13.0,0 days 00:47:51,0 days 00:50:03,190,204,Bergamont
194,Gravel Cycling,2021-08-29 12:30:25,Praha Cyklistika na nezpevněných cestách,25.38,433.0,0 days 01:17:54,105,140,1.2,19.6,37.8,64,60,0,0,0,0.0,0,0,0,0,15.0,0 days 01:17:29,0 days 01:32:21,197,216,Bergamont
195,Gravel Cycling,2021-08-25 16:44:20,SBCR Kopečky 1/10,55.3,1236.0,0 days 02:10:23,137,170,3.3,25.4,47.1,402,409,0,0,0,0.0,0,0,0,0,16.0,0 days 00:00:00,0 days 02:20:09,196,408,Bergamont
196,Road Cycling,2021-08-19 11:52:02,Caldaro sulla Strada del Vino Silniční cyklistika,108.73,2233.0,0 days 04:08:20,134,165,3.6,26.3,56.9,754,795,74,119,0,0.0,0,0,0,16559,23.0,0 days 04:02:49,0 days 04:24:39,258,573,Roubaix
197,Road Cycling,2021-08-17 08:59:29,Caldaro sulla Strada del Vino Silniční cyklistika,39.88,1027.0,0 days 01:26:08,143,174,3.4,27.8,63.7,409,404,80,125,0,0.0,0,0,0,6323,16.0,0 days 01:25:11,0 days 01:30:39,221,573,Roubaix
198,Road Cycling,2021-08-12 08:41:02,Caldaro sulla Strada del Vino Silniční cyklistika,49.72,1198.0,0 days 02:04:26,134,175,3.2,24.0,61.1,680,678,77,111,0,0.0,0,0,0,8452,20.0,0 days 02:04:20,0 days 02:04:43,227,574,Roubaix
199,Road Cycling,2021-08-10 11:02:14,Caldaro sulla Strada del Vino Silniční cyklistika,115.35,2766.0,0 days 04:32:13,142,181,4.5,25.4,56.5,841,843,78,112,0,0.0,0,0,0,18810,23.0,0 days 04:29:34,0 days 05:06:54,256,693,Roubaix
200,Road Cycling,2021-08-06 11:06:42,Caldaro sulla Strada del Vino Silniční cyklistika,107.65,2557.0,0 days 04:18:57,142,175,5.0,24.9,53.7,1287,1270,78,107,0,0.0,0,0,0,17666,21.0,0 days 04:17:29,0 days 04:32:31,233,1346,Roubaix
201,Road Cycling,2021-08-05 10:54:51,Caldaro sulla Strada del Vino Silniční cyklistika,40.81,1128.0,0 days 01:53:50,139,177,3.7,21.5,57.5,728,712,72,109,0,0.0,0,0,0,6274,19.0,0 days 01:52:20,0 days 02:04:15,273,578,Roubaix
202,Road Cycling,2021-08-02 10:35:51,Bolzano Silniční cyklistika,127.71,2482.0,0 days 04:27:47,139,161,3.9,28.6,39.9,246,244,81,110,0,0.0,0,0,0,20625,17.0,0 days 04:27:19,0 days 04:58:37,201,259,Roubaix
203,Gravel Cycling,2021-07-29 15:18:34,Praha Cyklistika na nezpevněných cestách,64.1,1211.0,0 days 02:36:34,128,164,2.9,24.6,44.7,207,204,0,0,0,0.0,0,0,0,0,23.0,0 days 02:36:00,0 days 02:40:05,194,239,Bergamont
204,Gravel Cycling,2021-07-28 10:49:25,Praha Cyklistika na nezpevněných cestách,47.17,1094.0,0 days 02:02:29,135,175,3.2,23.1,51.5,356,359,0,0,0,0.0,0,0,0,0,20.0,0 days 02:01:53,0 days 02:08:45,194,401,Bergamont
205,Gravel Cycling,2021-07-25 11:37:43,Praha Cyklistika na nezpevněných cestách,40.74,726.0,0 days 02:01:20,107,138,1.0,20.1,38.1,103,103,0,0,0,0.0,0,0,0,0,24.0,0 days 02:00:31,0 days 02:48:54,197,216,Bergamont
206,Gravel Cycling,2021-07-24 12:36:10,Praha Cyklistika na nezpevněných cestách,36.08,734.0,0 days 01:47:35,113,143,1.3,20.1,40.7,100,97,0,0,0,0.0,0,0,0,0,25.0,0 days 01:46:47,0 days 03:08:07,198,223,Bergamont
207,Road Cycling,2021-07-23 04:08:13,Klínovec Klassics #solo #unsupported,313.64,7307.0,0 days 13:21:28,141,193,5.0,23.5,62.5,4079,4071,71,217,0,0.0,0,0,0,48827,9.0,0 days 13:20:01,0 days 16:50:50,197,1237,Roubaix
208,Gravel Cycling,2021-07-20 17:48:39,Praha Cyklistika na nezpevněných cestách,42.76,926.0,0 days 01:52:50,129,163,2.9,22.7,52.9,329,340,0,0,0,0.0,0,0,0,0,15.0,0 days 01:52:31,0 days 01:58:20,194,374,Bergamont
209,Gravel Cycling,2021-07-18 14:11:34,Praha Cyklistika na nezpevněných cestách,36.39,867.0,0 days 01:46:11,126,163,2.6,20.6,45.8,300,280,0,0,0,0.0,0,0,0,0,23.0,0 days 01:45:36,0 days 01:59:09,196,318,Bergamont
210,Gravel Cycling,2021-07-12 17:28:04,Praha Cyklistika na nezpevněných cestách,73.22,1679.0,0 days 03:39:55,128,185,3.2,20.0,63.7,656,587,0,0,0,0.0,0,0,0,0,17.0,0 days 03:38:47,0 days 04:39:26,197,391,Bergamont
211,Road Cycling,2021-07-09 15:09:58,Caldaro sulla Strada del Vino Silniční cyklistika,0.14,5.0,0 days 00:07:16,0,0,0.0,3.3,5.0,2,1,0,0,0,0.0,0,0,0,0,42.0,0 days 00:02:28,0 days 00:07:16,568,570,Roubaix
212,Road Cycling,2021-07-09 11:49:01,Caldaro sulla Strada del Vino Silniční cyklistika,81.37,1827.0,0 days 03:10:22,141,184,3.9,25.6,62.6,702,686,74,129,0,0.0,0,0,0,13175,23.0,0 days 03:09:11,0 days 03:10:33,227,610,Roubaix
213,Road Cycling,2021-07-07 10:47:47,Caldaro sulla Strada del Vino Silniční cyklistika,88.57,3339.0,0 days 03:34:45,0,0,0.0,24.7,62.0,872,877,74,103,0,0.0,0,0,0,14279,25.0,0 days 03:34:22,0 days 03:49:06,242,670,Roubaix
214,Road Cycling,2021-07-06 16:58:36,Bolzano Silniční cyklistika,26.48,1140.0,0 days 01:13:36,0,0,0.0,21.6,43.2,391,86,72,118,0,0.0,0,0,0,5024,25.0,0 days 01:13:07,0 days 01:18:09,238,553,Roubaix
215,Road Cycling,2021-07-02 10:17:51,Caldaro sulla Strada del Vino Silniční cyklistika,100.88,2381.0,0 days 04:33:07,135,172,4.5,22.2,60.3,1807,1799,71,105,0,0.0,0,0,0,16008,20.0,0 days 04:30:36,0 days 04:54:03,258,1502,Roubaix
